Nama,Latitude,Longitude,Klaster
Puskesmas Dr. Soetomo Surabaya,-7.2773516,112.7341031,Pusat
Puskesmas Gundih Surabaya,-7.2472448,112.7253904,Pusat
Puskesmas Kedungdoro Surabaya,-7.2637016,112.7382415,Pusat
Puskesmas Ketabang Surabaya,-7.2580613,112.746774,Pusat
Puskesmas Peneleh Surabaya,-7.2523042,112.7408308,Pusat
Puskesmas Simolawang Surabaya,-7.2348687,112.7510499,Pusat
Puskesmas Tambakrejo Surabaya,-7.2484481,112.7555557,Pusat
Puskesmas Tembok Dukuh Surabaya,-7.2545274,112.7192132,Pusat
Puskesmas Asemrowo Surabaya,-7.2518611,112.7145619,Barat
Puskesmas Balongsari Surabaya,-7.2592288,112.678301,Barat
Puskesmas Bangkingan Surabaya,-7.3249201,112.656109,Barat
Puskesmas Benowo Surabaya,-7.2347252,112.6115006,Barat
Puskesmas Jeruk Surabaya,-7.3104418,112.6383803,Barat
Puskesmas Lidah Kulon Surabaya,-7.3054418,112.6383803,Barat
Puskesmas Lontar Surabaya,-7.2850638,112.6627329,Barat
Puskesmas Made Surabaya,-7.2773111,112.6370347,Barat
Puskesmas Manukan Kulon Surabaya,-7.2584653,112.6606438,Barat
Puskesmas Sememi Surabaya,-7.2483503,112.6354712,Barat
Puskesmas Simomulyo Surabaya,-7.2624603,112.7120093,Barat
Puskesmas Tanjungsari Surabaya,-7.2594044,112.6892628,Barat
Puskesmas Gading Surabaya,-7.2424907,112.7640344,Timur
Puskesmas Gunung Anyar Surabaya,-7.3408615,112.7839286,Timur
Puskesmas Kalijudan Surabaya,-7.2573961,112.7780142,Timur
Puskesmas Kalirungkut Surabaya,-7.322218,112.7707621,Timur
Puskesmas Keputih Surabaya,-7.2939955,112.801876,Timur
Puskesmas Klampis Ngasem Surabaya,-7.2891562,112.7784899,Timur
Puskesmas Medokan Ayu Surabaya,-7.3239443,112.7949832,Timur
Puskesmas Menur Surabaya,-7.2968727,112.7643469,Timur
Puskesmas Mojo Surabaya,-7.2709021,112.7708244,Timur
Puskesmas Mulyorejo Surabaya,-7.2607226,112.784748,Timur
Puskesmas Pacar Keling Surabaya,-7.2571931,112.7626846,Timur
Puskesmas Pucang Sewu Surabaya,-7.2865941,112.7555283,Timur
Puskesmas Rangkah Surabaya,-7.2463081,112.7672265,Timur
Puskesmas Tenggilis Surabaya,-7.3223604,112.7621105,Timur
Puskesmas Bulak Banteng Surabaya,-7.2177947,112.7662792,Utara
Puskesmas Dupak Surabaya,-7.2393518,112.7172651,Utara
Puskesmas Kenjeran Surabaya,-7.2411107,112.7952791,Utara
Puskesmas Krembangan Selatan Surabaya,-7.233071,112.7312176,Utara
Puskesmas Moro Krembangan Surabaya,-7.2347805,112.7124435,Utara
Puskesmas Pegirian Surabaya,-7.2246344,112.7469155,Utara
Puskesmas Perak Timur Surabaya,-7.2227322,112.7354624,Utara
Puskesmas Sawah Pulo Surabaya,-7.2228123,112.7446748,Utara
Puskesmas Sidotopo Surabaya,-7.2303477,112.7458816,Utara
Puskesmas Sidotopo Wetan Surabaya,-7.2265892,112.7635013,Utara
Puskesmas Tambak Wedi Surabaya,-7.2174798,112.7724023,Utara
Puskesmas Tanah Kali Kedinding Surabaya,-7.2303762,112.7744697,Utara
Puskesmas Wonokusumo Surabaya,-7.2196636,112.7525616,Utara
Puskesmas Balas Klumprik Surabaya,-7.3365249,112.6900272,Selatan
Puskesmas Banyu Urip Surabaya,-7.2715069,112.7200273,Selatan
Puskesmas Dukuh Kupang Surabaya,-7.283236,112.7122257,Selatan
Puskesmas Gayungan Surabaya,-7.3381017,112.7186968,Selatan
Puskesmas Jagir Surabaya,-7.3056601,112.7377323,Selatan
Puskesmas Jemursari Surabaya,-7.3260818,112.739969,Selatan
Puskesmas Kebonsari Surabaya,-7.3284006,112.7144456,Selatan
Puskesmas Kedurus Surabaya,-7.3197547,112.7093945,Selatan
Puskesmas Ngagel Rejo Surabaya,-7.2929633,112.7487887,Selatan
Puskesmas Pakis Surabaya,-7.2817741,112.7284812,Selatan
Puskesmas Putat Jaya Surabaya,-7.2814224,112.7223643,Selatan
Puskesmas Sawahan Surabaya,-7.2655813,112.7277504,Selatan
Puskesmas Sidosermo Surabaya,-7.3073313,112.7556756,Selatan
Puskesmas Siwalankerto Surabaya,-7.3402688,112.7364656,Selatan
Puskesmas Wiyung Surabaya,-7.3315249,112.6900272,Selatan
Puskesmas Wonokromo Surabaya,-7.3031765,112.7303925,Selatan